Q_Number,Column_Index,Column_ID,Question_Text,Response_Type,Notes
preData,0,respondent_id,Respondent ID,identifier,Survey metadata
preData,1,collector_id,Collector ID,identifier,Survey metadata  
preData,2,start_date,Start Date,datetime,Survey metadata
preData,3,end_date,End Date,datetime,Survey metadata
preData,4,ip_address,IP Address,text,Survey metadata
preData,5,email_address,Email Address,text,Survey metadata
preData,6,first_name,First Name,text,Survey metadata
preData,7,last_name,Last Name,text,Survey metadata
preData,8,custom_data_1,Custom Data 1,text,Survey metadata
Q1,9,gender,Are you?,categorical,FIRST ACTUAL SURVEY QUESTION
Q2,10,age_group,How old are you?,categorical,
Q3,11,state_territory,In which State or Territory do you currently live?,categorical,
Q4,12,currently_pregnant,Are you currently pregnant?,binary,
Q5,13,number_of_children,How many children do you have?,numeric,
Q6,14,has_child_under_age,Do you have a child aged under 12 months old?,binary,
Q7,15,household_purchaser,Within your household who typically purchases these types of baby care products?,categorical,
Q8,16,purchase_coles_woolworths,Have you purchased baby care products from Coles or Woolworths supermarket in the past month?,binary,
Q9,17,purchase_chemist_priceline,Have you purchased baby care products from Chemist Warehouse Priceline or Big W in the past 3 months?,binary,
Q10,18,usage_baby_bath,How often do you usually use Baby bath (eg. liquid cleanser/wash)?,frequency,
Q11,19,usage_2in1_wash_shampoo,How often do you usually use 2 in 1 Baby wash & shampoo?,frequency,
Q12,20,usage_baby_shampoo,How often do you usually use Baby shampoo?,frequency,
Q13,21,usage_baby_conditioner,How often do you usually use Baby conditioner?,frequency,
Q14,22,usage_hair_detangling,How often do you usually use Hair detangling spray?,frequency,
Q15,23,usage_baby_wipes,How often do you usually use Baby wipes?,frequency,
Q16,24,usage_baby_powder,How often do you usually use Baby powder?,frequency,
Q17,25,usage_baby_soap,How often do you usually use Baby soap (eg. bar)?,frequency,
Q18,26,usage_nappy_rash_cream,How often do you usually use Nappy rash cream (eg. soothing cream)?,frequency,
Q19,27,usage_baby_massage_oil,How often do you usually use Baby massage oil?,frequency,
Q20,28,usage_baby_moisturiser,How often do you usually use Baby skin moisturiser?,frequency,
Q21,29,usage_cradle_cap,How often do you usually use Cradle cap products?,frequency,
Q22,30,usage_eczema_cream,How often do you usually use Eczema cream?,frequency,
Q23,31,usage_bath_oil,How often do you usually use Bath oil?,frequency,
Q24,32,usage_room_spray,How often do you usually use Room spray (in baby/children's room)?,frequency,
Q25,33,importance_available_where_shop,How important is Available where I usually shop?,importance,
Q26,34,importance_brand_know_trust,How important is Brand I know and trust?,importance,BRAND TRUST QUESTION
Q27,35,importance_mum_recommended,How important is Another mum/family member recommended it?,importance,
Q28,36,importance_affordable_price,How important is Affordable everyday price that fits my budget?,importance,
Q29,37,importance_on_promotion,How important is On promotion / Special price?,importance,
Q30,38,importance_australian_made,How important is Is Australian made?,importance,
Q31,39,importance_clinical_formulation,How important is Clinical formulation / lab developed?,importance,
Q32,40,importance_organic_ingredients,How important is Contains Organic ingredients?,importance,
Q33,41,importance_dermatologically_tested,How important is Is Dermatologically tested/approved?,importance,
Q34,42,importance_pediatrician_tested,How important is Is Pediatrician tested/approved?,importance,BRAND EXPERIENCE QUESTION
Q35,43,importance_brand_used_works,How important is Brand that I've used & works best for my baby?,importance,BRAND EXPERIENCE QUESTION
Q36,44,importance_suitable_sensitive_skin,How important is Suitable for Sensitive Skin?,importance,
Q37,45,importance_eczema_friendly,How important is Is Eczema Friendly?,importance,
Q38,46,importance_natural_formulation,How important is Is a natural formulation?,importance,
Q39,47,importance_cruelty_free,How important is Is Cruelty Free (not tested on animals)?,importance,
Q40,48,importance_free_from_synthetic,How important is Is Free From (contains no synthetic fragrance/perfume)?,importance,
Q41,49,importance_vegan_friendly,How important is Is Vegan friendly?,importance,
Q42,50,other_important_aspects,If there are any other important aspects that you consider when purchasing baby body products please outline them,open_ended,
Q43,51,top5_available_where_shop,From the below list if you had to choose only the 5 most important aspects - Available where I usually shop?,ranking,
Q44,52,top5_brand_know_trust,From the below list if you had to choose only the 5 most important aspects - Brand I know and trust?,ranking,BRAND TRUST RANKING
Q45,53,top5_mum_recommended,From the below list if you had to choose only the 5 most important aspects - Another mum recommended it?,ranking,
Q46,54,top5_affordable_price,From the below list if you had to choose only the 5 most important aspects - Affordable everyday price?,ranking,
Q47,55,top5_on_promotion,From the below list if you had to choose only the 5 most important aspects - On promotion / Special price?,ranking,
Q48,56,top5_australian_made,From the below list if you had to choose only the 5 most important aspects - Is Australian made?,ranking,
Q49,57,top5_clinical_formulation,From the below list if you had to choose only the 5 most important aspects - Clinical formulation?,ranking,
Q50,58,top5_organic_ingredients,From the below list if you had to choose only the 5 most important aspects - Contains Organic ingredients?,ranking,
Q51,59,top5_dermatologically_tested,From the below list if you had to choose only the 5 most important aspects - Is Dermatologically tested?,ranking,
Q52,60,top5_brand_used_works,From the below list if you had to choose only the 5 most important aspects - Brand that I've used & works best?,ranking,BRAND EXPERIENCE RANKING
Q111,119,hypothetical_100_other_brand,Other brand (please say which brand),open_ended,BRAND CHOICE
Q112,120,brand_choice_reason,You chose to spend your $100 on that brand Please say why you chose that brand,open_ended,BRAND PREFERENCE EXPLANATION - Q120 TARGET